clean_text,sentiment
after eth price passes its ath leading to its gas fees going through the roof you have zil ada dot theta tfuel to the rescue alt season will be mindblowing,positive
new listings on ppbb in march if you missed it,negative
perfect project,positive
and there it islooks like the msft love got out es_f back above closing the bgl  does it hold place your bets,positive
"price of bitcoin

u    
u    
r    

h    change 
week   change 
month  change",neutral
twtr lower to     todays low back down magnet  aapl was up  help nasdq   noon ended     few stocks up today,negative
bitcoin song on     are you a bitcoiner,neutral
here it goes k incoming,neutral
"did some dd on bned check it out er report tuesday the th  am 

bned idex nio alt plug chgg goog spy",neutral
im giving  btzc and   to the person who i think has the best dog and follows these easy rules    comment with picture of your dog and tag  friends   rt   follow me and    winner chosen on wednesday,positive
is now accepting   so ive decided to signup on substack to create content around marketing in blockchain,positive
top read  the miracle of   its back  under  msft has more subscribers than  more  computing revenue than  and a neartrilliondollar mkt cap   cover by   todays recap,positive
i hope your  stacking goal is high enough so that you never actually reach it but if you do be happy for it and then hodl that shit for another decade at least,positive
the next zones to target,neutral
teslas hopes of actually selling this car shattered just like the tesla armor glass  tsla,positive
on purchases over  at,neutral
btcx gbtc obtc btc  more traders spotting the hamps pattern doom and gloom and death is on the plate   are you going to put your names to the test,negative
the one and only,neutral
"fb daily nice bounce off big price level 

light volume tho  itll be a fake out or melt up im leaning melt up

pts tomorrow at",negative
"patience  

 
  ranging for hours now",neutral
check out this item on opensea  via,neutral
love  this sentiment via  nobody who ends up with the most money is remembered  in the digital word were living in now everything is documented legacy will be remembered above currency    what will you be remembered for  btc eth ltc,positive
"project is worthy and i believe this project will fulfill our financial desires very soon website 
discord",positive
i know they are not the same but it illustrates some similarities in these runs we see the run up the distribution the fall the bounce before new lows i straight diagonal back to retest htf sr at a very important level then  btc,positive
aaplearnings at the end of the monthest fy   down  yoyrevenue est  down  yoyconsidering the massive buybacks shouldnt eps number be a little better than rev growth they probably beat handily but seems est should be better than the same growth,positive
aapl big  call buyers as  target approaches,neutral
aapl is slightly ahead of the expected  strangles hbi is also sharply higher and crude oil plunges on bad api data so far so good,negative
"no go look at my pinned post

when you say i dont know what im talking about understand that youre being extremely patronizing

i wish i didnt have to learn almost every minute detail of this   

proofofwaste in the era of climate collapse is evil",negative
i play and get cashback  the more you play on   the higher rank and cashback amount you will get my username user,positive
"current  price alert 

  usd
 e btc
  eth

follow for recent cardano price updates",positive
testing cryptocurrency atomic swaps with barterdex,neutral
took some profits while increasing my bullish stance in aapl by rolling my jan  calls into a larger number of jan  calls today,positive
we have just hit k within  hours welcome all lets build the best community on the market,positive
closed out my amzn call trade with a  gain in one day,positive
today where you been all week aapl,neutral
msft i dont like what im seeing im thinking of getting out while still in the green at least,negative
"i am claiming my free lightning sats from s zesty faucet 

 unlock me bdccfdfaaabfba",positive
not sure why youre so opinionated if you have no skin in the game i guess im a fool to think that people who short stocks and then engage in a smear campaign of liesfud should have no place in society outside of a jail tsla,negative
support ukraine donate ukraine as you can,positive
"a global project 

        

connect the whole world with",neutral
"elonpeg

complete
audits
liquidity locked
burnupontweet  supply burned
patent pending
 holders
k mcap
buy back and burn

coming soon
gamification
prediction markets
onchain social data oracles",neutral
i only recommend to buy    and  are too expensive,positive
hour this is why i use fibs finally got the dip that i called for hours ago but now finding support at a golden pocket taking some profits here but not yet closing my short position now below a diagonal support line,positive
i like fb below  and amd below,positive
traders want to be free lets make the original tweet go viralbkd amlh eled mmex spy dolv enrt aapl nxtd asti dbmm cbis sing,positive
"just buy and accumulation we pass on to all connoisseurs of loka  a great game have time to buy at a good price up the approximate capitalization is  billion 
 
       loka",positive
as you spend time with your loved ones over the holidays  reflect on all your blessings remember to borrow all your relatives iphones to help make sure they rate crapcast appropriately  star on the tree star for chartcast tsla,positive
zeeya  ada  strap tau so lawa bestseller  rm exclude postage,negative
another traditional investment manager falls in âï with amp friends,positive
closing above the range and iâm long from  i love bitcoin,positive
i have created a nonfungible token on the ethereum public blockchain,positive
i need  dollars to pay debts please help me even for a small amount please,positive
"pi is the best one
referral code 

pi network    

eagle network    era

bee network  erath 

sperax play mining   erath

any network  erath 

the future pillar of cryptocurrency
free coins",positive
get ready for autumn with this logo sweatshirt we have hoodies too btc,positive
get your  off the exchanges store the keys on a hardware wallet,neutral
tsla tesla targets november  for start of model y production reuters citing sources,neutral
just a bit more to beat ath  on the move,neutral
farming creates a demand for tokens you can get a regular income but you need to buy or mine the tokens to get it,positive
tslaive figured out a name for elons toolits patented you know,neutral
"you are indeed a
great trader to be called i assure
you that i will bring friends to come
and invest with you because of your
excellent work you did for me i will
keep sharing the good news about you  dm   to join",positive
of  supply held over  months this  longterm hold is the highest in  history,neutral
"big announcement coming soon
big announcement coming soon
big announcement coming soon

big announcement coming soon
big announcement coming soon
big announcement coming soon

follow  for more information regarding",neutral
i have participated thanks for opportunity i believe this is a faithful projectthe projector has a lot of attractions so hopefully the project will be better in the future,positive
can someone talk with the ceo of bounces,neutral
"prices update in eur  last  hour

btc       
eth       
bnb        
ada",neutral
segwit coin btc is not worth anything so i have long predicted it to approach zero  wormhole fork abc will follow if it lastsbitcoin bch sv is the only one that actually works,negative
seasonaltoken  platform envisioned a world where everyone could have a home project,neutral
waking up to see my massively devastating  losses,negative
for this rally to sustain we need to pump above k and flip it into support in next few days,positive
"daiwa tatula xs  right hand baitcast  ttuxs new in box                
   ebay",positive
amzn  meet the allnew kindle paperwhitethinner lighter x the storage and waterproof for just,neutral
goog aapl vantillian mjna first buy  hoping for s though ha,positive
written by a studentmember of mine appreciate you ivan happy for the success you are seeing keep studying hard and earn with us,positive
the goal of  is to build a social tool exclusively for   people through did,neutral
gary cohn who according to bloomberg invests in âœcyber and blockchainâ thinks that bitcoin comes up short on the domain of auditability mystifying,neutral
high paying affiliate program pays  per deal,neutral
ethax token is not in place and every day moving forward the project is developing and it should be a great reason for investment,positive
"apple bought 

you heard it here first",neutral
rising wedge pattern on disney dis,neutral
oooh my god,positive
this project is very strong and high standard projectthis project future is very brightthis is a project with clear roadmap and experienced working teams so everyone support the project,positive
if  goes to k how many will sell,neutral
ilgc,neutral
kicks off at  with the panel three public blockchains not called bitcoin or ethereum with   and,neutral
"longed   
 bybit  btcusd

shill me your shitcoins  luminiciousyogi",neutral
nobody knows anything,neutral
stop going up i need more dip,negative
were pumping,neutral
emotional damage,negative
"last price   
daily indicators
variation since hutc 
macd
 macd line 
 signal line 

 last price  
variation 
macd
 macd line 
 signal line",neutral
great day and years end over at  market traders on the fence come join and turn your trading around for good the start of the  spy qqq aapl baba nvda tsla amd twtr fb mu amzn nflx googl,positive
paybolt  web crypto payment gateway that is rewarding and lightningfast,positive
so what  only has given my savings a x boost over the yearsbear markets will be quite shorter going forward but also returns less its ok to pay irs the tax on only realized longterm gains still much better than alternative stores of value returning far less,positive
"apparently  is breaking down
dont trust all the fud you read on twitter  of it is trash",negative
my close friend recommend himalaya hair oil she said it works really well utk hair loss i ada posted short review on my ig and my follower recommend himalaya anti hair loss cream fast growth for baby hair i just leave it here for reference,positive
"you shouldnt miss out buying dips at all every day new buyers flood the  market and everyday there are fewer bitcoin available 

you should follow  he seems to know his stuff when it comes to btc
ive been following his tweets and i have learnt a lot",positive
this is definitely going to be huge  as the team has been an inspiration in their innovative approaches towards achieving the project goals and visions,positive
exit all amzn,neutral
incase you didnt notice  is bullish on htfs weve been ranging for weeks now whales will likely wick it down into the mid s for the bears to get excited and then rip up to set a new ath and liquidate stop reading the noise and stick to the long term trend,positive
btc miners are incentivized to keep price low to squeeze out smaller operations  the halving will catalyze a massive run but who will be left standing when it finally comes,negative
feds daly inflation hasnt gotten into americans psychology,neutral
"he keeps saying how healthy the economy was before this pandemic happened then why were we cutting rates with unemployment at an all time low and stocks at ath

qqq spy",negative
bwmtmorning coffee  thursday june    it is not light that we need but fire it is not the gentle shower but thunder we need the storm the whirlwind and the earthquake  frederick douglass  amzn xom gm tif,negative
this tweet from  has been withheld in response to a report from the copyright holder learn more,neutral
"current  price alert 

  usd
 e btc
  eth

follow for recent cardano price updates",positive
over the past week tether which issues the usd tether usdt stablecoin issued a statement saying it cannot now comply with sanctions by freezing the assets of sanctioned addresses,positive
i found  in a user vault at this location join me playing  its awesome,positive
lets see if aapl can decline less than twtr,neutral
bitcoin whale alert  tx ffcbacccbbfceffebafecf  addr dptwqhyyxweedbnoymkkzsxp     block_date,positive
keeps tanking since twitter ad ban but optimism remains,positive
"upgrades
cnk dnb docu dtm intc iq rop wix tdoc",neutral
i bought k k and now k and i will buy at k and k if we get there  in the  bull market i missed the right reentry during a correction a few times because i was always expecting btc to go a little lower  i learned my lessons,negative
"brazils biggest private lender itau unibanco is planning to offer  amp  services

the lender has  atms and m  customers globally",neutral
team  or team,neutral
msft  up days straight what is the record,positive
here come the big layoffs snap fb goog tsla,neutral
on selling tsla puts premiums are out of this world,neutral
impulse bar   btc bar close  short term volatility detection,neutral
"hour update

  market score  

 m score btc   
 m score alts vs btc   
 m score alts vs    

 market cap t b 
  dom   

 eth   
 btc",neutral
closed sell  lots      for  pips total for today  pips,neutral
you are wrong i dont want to look like im appealing to authority but my actua title before i retired was a senior software designer  was designed to scale thru layers from the getgo regardless if the functionality that allowed it to happen was added later on,negative
"btcusd
current bitcoin price 
day high 
day low 
year low 
year high 
 day moving avg 
 day moving avg",negative
"last price   
daily indicators
rsi 
ma 
ma 
ma 
bollinger b lowerupper 

 last  
rsi 
ma 
ma 
ma 
bb 

dm for project price",neutral
getting paid in  means getting paid at the top but it also means getting paid at the bottom lets keep these prices until the end of the month,positive
"apple  aapl

apple in short path

long or short it with btc on trade",neutral
we are so early,neutral
rt  amazon shares will continue to surge after pandemic subsides mark cuban says amzn,positive
shadow trading big money  no traps  cant attack lol  aapl,negative
just   or youll get  eventually trading shitcoins,neutral
also this has some implications for the us economy solid growth in amzn means the us and to a lesser extent the global consumer is buying shit thats a huge positive for the market in general unlike fb which strictly sells your data to add cos,positive
ma off to a hot start mattressmakers unite mfrm canadian skis bought by mtn betr buys tyrrells aapl gets into,neutral
"tsla trade of the week 

 put butterfly 

two day swing power of options",neutral
temper tantrum tweets are decreasing  net worth by trumps entire net worth if i was jealous of bezos like trump this would make me even more angry amzn,negative
bullwhale just longed  worth of   at  on  futures,positive
great project i love it thanks,positive
nanosynth group masks x bagger soon,neutral
"buy fil spot hourly

filled     
buy price",neutral
"according to my mentors who taught me charting back in the s this is formally known as the

ouch pattern
nflx",neutral
msft appl and gpro all downgraded by washington post,neutral
sounds great except those orders require  deposit fully refundable  tsla,positive
i like what management is doing definitely going in the right direction high pe for msft,positive
buy  or ride the bus and eat beans,neutral
algo trading closing signals jul amzn  lnt,neutral
amzn lead losers aapl fall nflx lose,negative
will  hit k once more by march,neutral
this kind of move looks possible for  if we can cross k arrow goes to k resistance and after that test the k support if it works ill take some profit at k for  and  as i told you before still volume is not satisfying but lets see,neutral
"cryptocurrency news

shares announces crypto winter suite  globenewswire",positive
dude its amzn short at your own risk shopify web services seeing huge compute demand from cloud customersshopify tv streaming boomingshitchshops video game streaming platform also looks goodso do shop groceries oh wait none of that existsmy bad,negative
oh that was a poorlytimed short tsla is going to rip into the close,neutral
aapl road to,neutral
cryptowatch all the major cryptocurrencies are higher this morning with bitcoin back above k btc eth ltc bch xrp,neutral
"testimonies are true  trading is still paying and changing lives of many dm me if you do like to start making money from trading   legit
write me",positive
love bitcoin and we also love mining bitcoin thats why we minted our first  an nft project focusing on the creation of longterm and sustainable passive income for holders,positive
im checking out amzn  double cat ear pattern  lol,positive
"nice project 
 
 
 
the best community gruop end success  bosqu",positive
what is your   prediction for,neutral
"short alert 

exchange      ftx
market          eth  perp
volume         
price             

btc  eth 

for live whale trade flow check",positive
did u know around  of  has been lost forever,negative
seizing miners is not the same as controlling  im perplexed by your comment,negative
"giving away some  art from 

to win this keep stacking limited ed acrylic panel
 like amp share this tweet
 follow me

winner will be drawn monday sep th",positive
bitcoin cryptocurrencies see explosive growth as mediums of exchange in q   kitco news,positive
aapl hit a high of  on feb  today feb  it closed at  i love apple products but my math indicates thats a lower price after  weeks,negative
becauseofyoullo      ww istmyway,neutral
lets get back on the track    to the moon,neutral
amzn too soon looks like it wants,positive
aapl can we chill out in the profit taking lol we cant close under  today  couldnt hold but doesnt mean we need to go back under  and have a free fall lol,positive
tsla  the next,neutral
"ive just published a new edition of the rekt capital newsletter

altcoin newsletter

i share my charts amp analysis on  altcoins

these altcoins include rose knc xtz bnb steem xmr snx and ocean

feel free to read amp sign up",positive
amzn filed gb ipo  forthe soundboard,neutral
kinda like overtrimming a tree  tsla becomes tslaq  no magic necessary,neutral
bitcoin whale wallet with  million activated after  years,neutral
"change a babys life my baby has sma disease he is an angel may god forgive him please help me save him i am writing from turkey you can only help with western union and bitcoin
 gdfzlutuktxvracknyzeezzxwjrk",positive
so far weve seen  flippenings in this  rally  took over  and  rose over  well see even more of these as junk projects get overtaken by more worthy ones,positive
usd transferred from  to   tx,positive
paypal to allow cryptocurrency buying selling and shopping on its network according to customers will be able buy sell hold and to use cryptocurrencies to shop at the m merchants on its network starting in early,positive
may    utc          btc,neutral
"has been transfered to an unknown address 

          𝗦𝗲𝗻𝗱𝗲𝗿 bcqxxzevxsgdcjsnkrywteyffdtuvqxq       
          balance  btc

          𝗥𝗲𝗰𝗶𝗲𝘃𝗲𝗿 bcqgwxjhfzupkamevqzsqqscuc       
          balance  btc",neutral
current  price is,neutral
algorand is the future of crypto and this project on this blockchain is going to be on top dont miss this opportunity,positive
when the pa goes against the clear bear flag  manipulation ugly,negative
"now is the time to purchase some  this panic meant so whales will buy the dip

we are the many they are the few

selling btc now is pointless and no logic at all
buy so the average buy will be lowergt not rekt",negative
profit of shibusd in less than  hours  minutes and  seconds click  to find out the exact ptofit usd at,positive
unclecoco found  satoshis  in a green vault at this location join me playing  its awesome,positive
even the official numbers indicate the highest increase in food prices on record in germany if you havent read when money does by adam ferguson do it now this is weimar if you dont own,positive
"how to compensate  volatility in  steps

 buy dfi from 
 stake them at  and get  apy
 relax

btw if btc goes up dfi goes up as well 

thank me later",positive
"stock trend list as of  closing price 

slb bp mpc hal xom t kmi gm cvx fro pfe vz so ups mmm jpm csco ko blk hd mrk bac amzn f fb googl nflx tsla nvda ma v cost nem aapl gold msft unh wmt fdx sbux intc low stng pld pg unp jnj",negative
while major cryptocurrencies like bitcoin btc go down others including dogecoin doge and mushe xmu rise,positive
from  to  how much top primexbt copy traders earned in  and how to profit from their success,positive
msft will probably continue to drift higher into july  eps    feeneyekg white line  stocks do not seem to care about over bot levels particularly tech the risk is getting higher and higher,negative
i think the fifa soccer world cup is the most interesting  this year,positive
the best time to learn about massive transfers of  and  is now as we can learn so much about who and how are they are liquidating in the public markets,positive
a massive evolution in and are letting their community have the main voice in the decision making now thats decentralised,neutral
terra whistleblower publishes alleged chat log between do kwon and network validators   news,neutral
go to moon soon,neutral
"stop handing your personal info to surveillance tech companies become selfsovereign 

use these  alternatives to take back control of your data privacy",negative
delivering  everything for the entire week i want them to rest but they wont im ashamed and lucky,positive
crypto donations can now be made with bone,neutral
current price of solana sol   h change    h volume    buy  to get rich,positive
lien lien went up  percent in the last  minutes on,neutral
"the next gem can be this have a look here
 cloud streamed thanks to nvidia rtx technology
 tipsyworld  a digital playground for adults",positive
angelblock defi protocol for cryptonative fundraising announces its startup grant program and platform launch,positive
tsla is where it was back  years ago from the traditional investor point of view nothing happened much ado about nothing,neutral
top  for   at market open amzn met mrk afg ppg,positive
added to opk  once amzn gap fills more there ups truck ontrac even rival fdx if ups cant do day constant stream in neighborhood,neutral
i am frankly amazed is still over k considering this weeks news bitcoins being generated by stolen electricity  mining machines  and bitcoiners are advocating people should adopt it are you off your friggin tree south africa exchange also drops  btc,positive
try  only  per btc bpi,neutral
um  neither does   either huhlove that you tweet so much instead of making tsla profitable two years   for the money how are the one million robo taxis coming keep up the good work tslaq,positive
"tp  
continue to hold
those who are sitting out may open new position around the cmp  
 ont 

 
  ont slightly adjusted",neutral
goog  numbers look fine once you back out  mm fine and marktomarket losses on unicorns also tax rate came in higher than street,neutral
gdoge will hit outer space like jeff bezos,positive
the margin one word from elon musk landing tsla,neutral
tsla god  how much money can you longs afford to lose   insanity  look at the chart and read the pr,negative
amazing project and congratulations to the whole team for their efforts and dedication and commitment,positive
"do you want to own automated mining earn by the hour
access the link",positive
"also this happened over the course of this past week

    

top k on alexa  can i get a pogchamp d",positive
"the btc price is at  right now
 compared to the last tweet the price has increased by  
 in the last  hours the price has increased by",positive
"btc daily tf 

 strong support broken
 price is retesting important zone
 for any bullish move daily closing must be above 
 till then its just a relief rally",positive
is key to the future of twitter jack dorsey says,neutral
market is saying there is another capital raise coming tsla,neutral
post some exact pairs for  ie linkbtc or axs usdt and i will be making a video market review on some alts later today ill probably pick a few and then make a video later,negative
"simplify

on enterart",neutral
"broke the last ath and is currently at k

are we finally in that bull run phase we all waited for a long time 

if yes alts will follow

everyone should follow  shes a super underrated bitcoiner who has incredible writings tweets amp tips 

follow her",positive
"all my close friends are telling me i made a mistake buying  

if this isnt a a sign of bottom i dont know what is",positive
running late mic not working,neutral
"daily chart  uptrend  extends range downward still bullish heading for retest of uptrend  k if down pressure continues death line k below  ema
hourly chart  after breaking down from december range macd has been  above  ema",negative
tsla vs kndi vs nio kandi hit fresh new mo high today after several prs released past few wks sp was  just  wks ago do your dd read prs   kandi evs qualify for  us federal tax credits  co received  tax refund  prc exempted kndi evs from sales taxes,positive
hours of  shadowban  why exactly  im guess elon has a problem w a tesla customer sharing their tesla nightmare reply deboosting detected tsla tslaq,neutral
thishis report was code for this stock is trash but im not allowed to print that  so heres  for yousomeone smarter than me will have to explain why the truth wasntisnt allowed tsla,positive
if youre not irresponsibly long on  its safe for me to assume you piss sitting down,positive
msft current setup into tomorrow with heavy volume near the lod today shown by the daily raindrop,neutral
xom amzn googl avgo aapl pfe cvs bac td wmt cost wfc jnj ge gs tsla utx fb jpm dis mcd mo amd tgt intc ba mix day,neutral
"supply audit
total  mined till date 
total supply 
 supply remaining
percentage in circulation",neutral
is a very promising project the team from silicon valley is doing a lot of innovative work there is plenty of good news to come now is the best time to invest so dont miss it,positive
usd transferred from unknown wallet to unknown wallet  tx,positive
elon musk tsla deleted all fb facebook accounts to protect his company imagine how many trade secrets are passed around via facebook all companies should delete their facebook never mind all individuals,positive
"before its to late get a bag and hold onto it for that allocation

connector coin is at a really great entry point just a few days before out launchpad launches first project",positive
you dont give entryexit alerts do you i dont think ive seen any but you should lol dis and rubi amont others are nice plays,positive
aapl call sweep mar  calls for  k premium,neutral
the whole crypto market goes down hex goes up hex just always seems to do its own thing btc eth xrp dot bch ltc link ada,neutral
"this zesty faucet from  is making me tweet this to claim my free lightning sats 

 unlock me dfbffdaeaeef",positive
my bitcoin supercycle article explains why this might happen   check it out here,neutral
"crypto prices usd

bitcoin  
ethereum  
binance  
cardano  
doge  
tether  
chainlink",neutral
what should investors expect from s  ibm googl goog nvda crm,neutral
is now,neutral
conservatively would you be satisfied with a k,positive
very nice project,positive
"advertising
psycho lobster  
available on  now 

  eth
 no gas fees polygon

the value of that nft will be at least  eth when phase  starts",positive
if youre playing at home were in the why is fb growing while aapl is not period spoiler aapl is fine theyre different companies,positive
the market fatties must ramp stocks this afternoon to better optimize their options expiration winnings today it isnt a questionspy spx vix qqq es es_f amzn aapl ba dia iwm,positive
heavy selling into postearnings stocks underscores just how wobbly this market is here are  to watch googl twtr,neutral
brisk iphone  sales expected to bring apple best holiday quarter revenue ever  aapl,positive
"pumped right from my second buy zone 
go btc go",neutral
hey tsla shorts how you like me now,positive
"sampp   spxusd  spx usd

i came up with this scary outlook back in april so far on p

long or short it with btc on trade",negative
im making a patch to put on a blank hat i own i would appreciate input on the text ring,positive
"what am i doing you ask

im building sector relative pack chart views showing me the short  the intermediate  long week and longest   so in one page i can see how the xyz sector is doing spx relative at a glance",neutral
d  market is strongly trending up current momentum suggests the market is overbought    visit  for more,positive
cryptovocab hashing power hash rate of computer in khsmhsghsthsphs or ehs,neutral
amzn buys elli to secure place in mortgage lending no better way then buy tech that more than half small to mid size comp uses,neutral
there are now gt   around the  from just a few hundred last year reason for this growth is simple theof  amp other  has soared in recent months so if youre thinking to  in this new asset class now is theto do it,positive
you can do cloud mining using this site,neutral
we are holding massive amounts of ltc over  to end  and over,neutral
"the btc price is at  right now
 compared to the last tweet the price has increased by  
 in the last  hours the price has dropped by",positive
weve got lots of bitcoins lots of shitcoins watch em bleed but are never ever ever ever selling back to tether,neutral
"btc   

 
  

  

 pay yourself take profit and stop loss",negative
"live crypto prices h change

btc  
eth  
dot  
ada  
link  
mkr  
miota  

powered by coingecko api",neutral
why ocn has massive potential upside  trx has a b circ upply amp b of total currently  approx  sats with ath around    ocn has b circ b total  currently  ish sats with ath around    odessey will have  the supply amp is currently  the price,neutral
bring magical art to your life by buying special  from the  collection follow us to get more information,positive
in  there is still room more woods to chop i know you dont read this msg it escapes your eye let us wait for after fed  after microstrategy  aftermath indicates k,positive
huge   social media defeats the aapl juggernaut,neutral
"part 

btcmarkets
 
 
 
 
 

coinspot
 
 
 
 

cointree",neutral
"market per day
morning summary with the change of top coins
  
  
  
  
  
  
bitcoin dominance 
market cap  bill
cap of defi bill",positive
honestly my btc scalps are like x better than my eth scalps because ireally really really really hate ethereum here and think its basically a huge scam propped up off of the back of a gigantic short closure detailed here    id ignore all my eth stuff tbh,negative
spy notable  reports for the coming week spx dia qqq aapl amzn nflx goog googl fb  twtr,neutral
new yearnew mystery boxes for new registered users  join  buy or deposit  in  or any     and get a free mystery box,positive
"price update bnb

  usd

  btc

  eth

  

follow for recent bnb price updates",neutral
all in,neutral
"were in the th wave on this cycle and the coming  run will be humongous 

 

 zil",neutral
the bitcoin box at watford fc,neutral
attack on btc is really hard not only do you have to get  of the hash power in terms of mining equipment but you also have to get access to enough electricity to feed those machines over time this is going to be the much harder thing to obtain,negative
pitched amzn last year up  since then,neutral
in  much rust many bitco now,neutral
a very extraordinary project happy to be part of this project hope to get success and bonuses from this project perfect,positive
this cycle tops later this year when link pulls a  eth and idos pump x in  weeks   until then stick to the plan,positive
"price update      

 btc source",neutral
have you found time to tweet about got podcasts bitcoin or an ipo lately maybe one rt about the fact that half the population is having their rights to basic medical care stripped away would be greeeeaaattttttt,positive
sharp pull on aapl,neutral
decision making amp information gathering can be a uniquely difficult challenge in the decentralised space in this episode we chat with about how works and governance in the community,negative
few know that  is more than just a faster cheaper  it also has the ability for developers to create nfts stable coins amp smart contracts on the  network,positive
alphabet inc goog price at close november   is  goog,neutral
meanwhile bitcoin is down a full  today completely erasing the last __hours_ of rise it is typically up  yearoveryear on avg,neutral
fantom is back above  will previous highs be next to fall,neutral
is the next,neutral
the same people who want body cameras on all police recording them are the same people who will say that the fbi was justified in not allowing themselves to be recorded,positive
aapl is on sale today the rate hike atm seems like hedge fund managers are about to change strategies and take some profits,positive
investment in top   could be worth a fortune down the road,positive
really hope you will choose me to be the one who gets,positive
the greatest wealth transfer the world has ever seen will be put into crypto relatively soon   and the regulation of stablecoins will be the catalyst the dollar needs more utility and stablecoins could be it allow regluate and oversee thats it,positive
friday apple rumors imac pro may use servergrade processors aapl,neutral
shooter claimed to have made a small fortune investing in bitcoin enabling him to travel around the world and buy an arsenal of weaponstactical gear ðÿ,neutral
to the moon,neutral
msft  alerted this trade in my room and it worked out perfectlyformed a perfect wedge pattern and called for a long on the break over the down trendtop of wedgevwap what a great trade still holding some but i sold most to early as always lol,positive
watch idea  gappers azn hot mar clvs aapl pcln     r,neutral
"costco part of the essential retail basket of stocks  aka whact

wmt hd amzn cost tgt 
cc",neutral
how guys in my private group are feeling right now thanks to my specific insider tipswhat are you doing,positive
top us banking regulator warns of crosscontagion between  traditional financial system,positive
fb zuck capitulated  facebook to begin labeling statecontrolled media on its platform,neutral
negativity surrounding  right now,negative
aapl jan  put lotto may be worth a ticket at,positive
via gerberkawasaki tim is the master up  ah  can learn something from tim cook manages expectations better than anything he does aapl tsla tsla,positive
with this,neutral
googl gonna be on the move soonjust pop up on my screenlets seejust looking   call exp friday for nowno position,neutral
looks good would be weird if it would have had hundreds of thousands of trades instantly as they dont have fake volumes people need to sign up get accepted transfer funds before they can use it,positive
this campaign is very great and profitable so i am very lucky to join the campaign if you are  really faithful with this project,positive
open interest hits  billion dollars the highest level in  months,positive
msft qcom both higher,neutral
growthable future earning opportunity unique platform,positive
aapl amzn  apple spending mmonth on aws,neutral
comparing   and other     mt via               cc,neutral
long tsla  calls at  average on the  cross,neutral
"block   

 st jul   gmt

  tx with a value of   m  distributed to  recipients 

    mined    remaining",positive
"about crypto gambling and its impact on the gambling industry 

check our blog",neutral
"good project 

    
tg 

bsc address 
xecccacefbbeecb",positive
bitcoiners in max pain event be like harder daddy if this is your first time going through an event like this its usually the worst time to sell and the best time to buy cheap sats the weak will leave and the strong will stay,positive
rt   this one will be good spot volume starting to die probably trigger bigger short once it comes back to,negative
cierre  market movers top  gainers for today mnk  msft  endp  lila  cof,positive
"rt  in the  market it is  oil companies are on offer

bp xom cvx rds tot",neutral
peak distraction from the bigger picture,negative
everything about luzion protocol is very promising smart contract is thererewards functioning rebase rateyou can get lzn  from pancakeswap,positive
"binance burns almost  million worth of bnb tokens

            ada",positive
we have this tools to help millions of individuals from fraudsters who have lost money in fake platforms  real dm me for recovery,negative
v implied volatility expiration,neutral
short interest in international money express inc imxi expands by,positive
toddlers are used to swiping the lock to open their parentsâ iphonesðÿ we have made as intuitive as can beðÿ½ and have no doubt kids will be catching claiming converting their s in no time ðÿœˆðÿš,neutral
if you need a bullish chart i can help you in  bitcoin entered an oversold area two times before k violet candle  oversold,positive
elon just said that he owns a lot of  he also said he might pump but he wont dump,positive
"cat solid buying tail skinny profile bouncing off sma all pointing higher



trade option  stocks nq ym dow cl ng aapl spx es iwm rty spy gld gc zb tlt",positive
"usd move from unknown wallet to unknown wallet
 
date    gmt 
blockchain  
symbol  
 
detail",neutral
googl  point drop coming soon,negative
"trillion wealth transfer its time
gold powered the industrial revolution past tense
 is powering the technological revolution now",positive
"ophc entry pt  pt 
pls join our realtime collaborative discord room",negative
with the price of bitcoin already below  a veteran analyst has unveiled a grim forecast for the future,negative
difficulty score rises again as btc continues its bullish trend,negative
i wonder how the people in el salvador use  as a pos as it is legal tender there now,positive
is photography a thing thinking about making a collection of some old projects  holla if theres some demand for it eth,negative
this is a very cool and amazing project all the partners of this project are so hardworking and this team has great potential to succeed in this project,positive
best among all is  a based amp protocol for feeless micropayments amp data transfer used as general  has huge institutional interests partnerships amp referenced in numerous patents filed is the only used for both value amp data,positive
breaking  exchange paxful has removed ethereum from its market place,neutral
"price update 

  usd
  

follow for recent eth price updates",neutral
"new algo detection tarausdt 

  
 tara
 current price  usdt
 exchange 

no investment advice
follow us on twitter",negative
this would change my life,neutral
"strategy hlh atrd 

 apr   utc
 long  jst
 gt    last_price btcusd
   exit_trigger ent 
   short_entry_trigger

usd perpetual contract on",positive
it will be successful and i am here to really support your project,positive
ohhhh jeezus oceania pleease forgive us,positive
become a member,neutral
aapl great plan makes trading easy big picture thinking real skills and a winning mindset bring great wins,positive
in classic tsla style the firm missed car deliveries expectations and the androida farewell to norms,negative
it is actually nothing specific the unveiling reservation thing is the second tier i think of the tsla referral program,neutral
phil  ross do you think any other car company will be making any profit by making evs this year or next year except tsla,positive
block decentralised private web browser integrated with ai  defi tools including dex discordtg  tv,negative
they cant shut us up,neutral
people think capitulating on  means selling on a loss they are wrong capitulating on  means selling your kidney to buy more,negative
and its possibility to reduce methane emissions like   which can be more impactful than a lower energy consumption,positive
the eternal crab,neutral
"most peoples idea of bottom is what happened in march  yes that was the bottom of the bear market its not the same

the real pain hasnt even started yet are you prepared for that or you still think vshape recovery",positive
in russia roskomnadzor has started blocking websites related to cryptocurrency investments,negative
